id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
899222617912073384,Private Room close to Ualbany and state offices,9318285,Mesut,,FIFTEENTH WARD,42.67579,-73.82485,Private room,65,2,1,2023-07-26,0.07,2,364,0,
902166216060824525,2 bdrm Modern & Hip Apt w/ Patio,47625981,Linda,,SEVENTH WARD,42.64787,-73.76707,Entire home/apt,155,1,42,2024-08-11,2.83,16,348,31,
902326803627859755,"""The LEO Home"" Private Bedroom Four / 1 Full Bath",349460842,Scott,,TENTH WARD,42.66174,-73.78325,Private room,63,89,0,,,10,297,0,
904392960639597224,/Luxury Modern Western Hideout\,4259750,Peter,,THIRTEENTH WARD,42.6652959,-73.7868778,Entire home/apt,166,1,15,2024-08-19,0.99,9,269,11,
905007131419044966,*The Red House* 4 Bedrooms•Beautifully Renovated,349460842,Scott,,TENTH WARD,42.66217,-73.78299,Entire home/apt,222,1,41,2024-08-01,2.93,10,348,38,
908035738595779392,Modern Albany Flat,4763049,Steve,,THIRD WARD,42.65661,-73.7514,Entire home/apt,,2,10,2024-08-25,0.69,1,0,6,
910155617642317638,Exclusive | Suite ~ Extended Stay,6203319,Melissa,,TENTH WARD,42.66292,-73.7909,Private room,,1,1,2023-07-26,0.07,3,0,0,
917510613914219375,"R&R | Hospitals, Colleges + Politics",6203319,Melissa,,TENTH WARD,42.66261,-73.79158,Private room,,1,9,2024-08-01,0.63,3,0,5,
917639722733180899,Everything you need! Modern Gem on New Scotland,471810429,Maria,,SEVENTH WARD,42.651937304486545,-73.78593011701557,Entire home/apt,150,1,103,2024-08-15,7.01,1,309,68,
919055506310955442,Room for rent,502751555,Grace,,FIFTH WARD,42.67292,-73.7776,Private room,93,1,0,,,1,364,0,
921076441920995839,Work hard! Play hard!,521669673,Kody,,THIRD WARD,42.6586,-73.75743,Entire home/apt,80,14,2,2023-09-07,0.15,4,266,1,
922634062451094710,Charming 2 bdrm Apt- Home Away from Home,260986425,Connie,,NINTH WARD,42.65483722729842,-73.79149618599958,Entire home/apt,110,3,3,2024-05-24,0.23,1,15,2,
928948908785846870,Newly Renovated Gem in Melrose - Pet Friendly,441054845,Thaddeus,,THIRTEENTH WARD,42.67066076442359,-73.79571205018514,Entire home/apt,66,1,41,2024-08-24,3.04,2,210,39,
932618854176539492,Cozy space all on 1 floor close to U Albany,232967878,Diana,,THIRTEENTH WARD,42.672943350526445,-73.79225342780366,Entire home/apt,125,1,26,2024-08-11,1.87,25,358,21,
932642358896439621,Stylish top floor apt w/parking,232967878,Diana,,THIRTEENTH WARD,42.67132410762948,-73.79247186675903,Entire home/apt,150,1,30,2024-08-19,2.19,25,356,25,
934035097653060273,7,493882819,Terra,,SIXTH WARD,42.656549255922755,-73.77433674199318,Private room,127,1,5,2024-03-25,0.37,6,354,2,
937837897631191844,Hudson 2 at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.658672199777634,-73.77478693204898,Private room,184,1,2,2023-12-31,0.16,12,210,1,
937838302933205871,Hudson 1 at The Argus Hotel,526358730,Argus,,ELEVENTH WARD,42.6606,-73.77284,Private room,184,1,6,2024-07-07,0.54,12,210,6,
